STATE,DISTRICT,Year,pH,NO3
Gujarat,Morbi,2021.0,7.945555555555554,61.17777777777778
Gujarat,Morbi,2023.0,7.9278571428571425,28.357142857142858
Gujarat,Narmada,2019.0,7.308333333333334,44.333333333333336
Gujarat,Narmada,2020.0,7.75,19.052500000000002
Gujarat,Narmada,2021.0,8.197777777777778,19.322222222222223
Gujarat,Narmada,2023.0,8.056000000000001,13.7
Gujarat,Navsari,2019.0,7.78,16.916666666666668
Gujarat,Navsari,2020.0,7.966666666666666,17.666666666666668
Gujarat,Navsari,2021.0,8.008888888888889,7.716666666666667
Gujarat,Navsari,2023.0,7.867272727272728,6.454545454545454
Gujarat,Patan,2019.0,7.781999999999999,50.8
Gujarat,Patan,2020.0,7.666666666666667,35.333333333333336
Gujarat,Patan,2021.0,7.662000000000001,15.563999999999998
Gujarat,Patan,2023.0,7.851000000000001,5.6
Gujarat,Porbandar,2020.0,7.389655172413794,50.37931034482759
Gujarat,Porbandar,2021.0,7.947058823529411,44.96470588235294
Gujarat,Porbandar,2023.0,7.726333333333333,28.166666666666668
Gujarat,Rajkot,2019.0,8.017222222222223,46.111111111111114
Gujarat,Rajkot,2020.0,7.4692307692307685,61.53076923076923
Gujarat,Rajkot,2021.0,7.821666666666666,92.75
Gujarat,Rajkot,2023.0,8.019166666666667,68.375
Gujarat,Surat,2019.0,7.816551724137931,24.137931034482758
Gujarat,Surat,2020.0,7.943333333333333,16.433333333333334
Gujarat,Surat,2021.0,7.965416666666666,26.683333333333334
Gujarat,Surat,2023.0,7.819565217391304,16.043478260869566
Gujarat,Surendranagar,2019.0,7.549444444444443,51.27777777777778
Gujarat,Surendranagar,2020.0,7.647368421052632,44.55894736842105
Gujarat,Surendranagar,2021.0,7.822222222222223,41.17111111111112
Gujarat,Surendranagar,2023.0,7.787307692307692,27.76923076923077
Gujarat,Tapi,2021.0,7.9025,9.825
Gujarat,Tapi,2023.0,7.92111111111111,18.666666666666668
Gujarat,Vadodara,2019.0,7.518108108108109,219.8918918918919
Gujarat,Vadodara,2020.0,8.033333333333333,3.733333333333333
Gujarat,Vadodara,2021.0,8.24,20.68
Gujarat,Vadodara,2023.0,8.161,19.2
Gujarat,Valsad,2019.0,7.7542857142857144,15.37857142857143
Gujarat,Valsad,2020.0,7.885714285714286,15.0
Gujarat,Valsad,2021.0,8.09625,11.23125
Gujarat,Valsad,2023.0,8.011052631578949,9.31578947368421
Haryana,Ambala,2019.0,8.619166666666667,3.6999999999999997
Haryana,Ambala,2020.0,8.3,4.1066666666666665
